epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_recall
0,49,0.3515625,1.7577893733978271,,,,
0,67,,,0.5368303656578064,0.23839518427848816,1.4955893754959106,0.23571749031543732
1,99,0.5859375,1.3859041929244995,,,,
1,135,,,0.6908482313156128,0.26933497190475464,1.157942533493042,0.2731248736381531
2,149,0.6640625,1.1171427965164185,,,,
2,199,0.75,0.7813949584960938,,,,
2,203,,,0.7220982313156128,0.289566308259964,0.8798089623451233,0.2918355166912079
3,249,0.7109375,0.9028288722038269,,,,
3,271,,,0.7388392686843872,0.3277170658111572,0.7705289125442505,0.32535627484321594
4,299,0.765625,0.6253374218940735,,,,
4,339,,,0.7433035969734192,0.32720842957496643,0.7460299730300903,0.31784185767173767
