2025-05-29 14:51:02,300 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Configure stats pid to 2609965
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Loading settings from /workspace/ann_to_snn/HAR-ANN-to-SNN/ANN/wandb/settings
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ANN/train.py', 'program_abspath': '/workspace/ann_to_snn/HAR-ANN-to-SNN/ANN/train.py', 'program': '/workspace/ann_to_snn/HAR-ANN-to-SNN/ANN/train.py'}
2025-05-29 14:51:02,301 INFO    MainThread:2609965 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:_log_setup():521] Logging user logs to ./chkpts/wandb/run-20250529_145102-o9636qvy/logs/debug.log
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:_log_setup():522] Logging internal logs to ./chkpts/wandb/run-20250529_145102-o9636qvy/logs/debug-internal.log
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:init():561] calling init triggers
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:init():611] starting backend
2025-05-29 14:51:02,302 INFO    MainThread:2609965 [wandb_init.py:init():615] setting up manager
2025-05-29 14:51:02,323 INFO    MainThread:2609965 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-29 14:51:02,326 INFO    MainThread:2609965 [wandb_init.py:init():623] backend started and connected
2025-05-29 14:51:02,338 INFO    MainThread:2609965 [wandb_init.py:init():715] updated telemetry
2025-05-29 14:51:02,419 INFO    MainThread:2609965 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2025-05-29 14:51:03,206 INFO    MainThread:2609965 [wandb_run.py:_on_init():2357] communicating current version
2025-05-29 14:51:03,465 INFO    MainThread:2609965 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.19.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-05-29 14:51:03,466 INFO    MainThread:2609965 [wandb_init.py:init():799] starting run threads in backend
